年齢,競馬歴,予想
10〜20代,3年以下,"ジャスティンパレス, タイトルホルダー, スルーセブンシーズ"
10〜20代,3年以下,"ジャスティンパレス, スターズオンアース, タイトルホルダー"
10〜20代,3年以下,"タイトルホルダー, ディープボンド, ライラック"
10〜20代,3年以下,"ドウデュース, ディープボンド, ハーパー"
10〜20代,3年以下,"ドウデュース, ジャスティンパレス, スターズオンアース"
10〜20代,3年以下,"ジャスティンパレス, スターズオンアース"
10〜20代,3年以下,"ドウデュース, ジャスティンパレス, タイトルホルダー"
10〜20代,7~9年,"タスティエーラ, ジャスティンパレス, ディープボンド"
10〜20代,3年以下,"ドウデュース, スターズオンアース, ウインマリリン"
10〜20代,3年以下,"タスティエーラ, ジャスティンパレス, スターズオンアース"
10〜20代,3年以下,"タスティエーラ, ソールオリエンス, タイトルホルダー"
40代,19年以上,"ジャスティンパレス, タイトルホルダー, スルーセブンシーズ"
10〜20代,3年以下,"ドウデュース, ディープボンド, ハーパー"
10〜20代,3年以下,"ドウデュース, ディープボンド, ハーパー"
10〜20代,3年以下,"ジャスティンパレス, タイトルホルダー, スルーセブンシーズ"
10〜20代,3年以下,"タスティエーラ, ソールオリエンス, タイトルホルダー"
10〜20代,3年以下,"ドウデュース, ジャスティンパレス, スターズオンアース"
10〜20代,3年以下,"ドウデュース, ジャスティンパレス, スターズオンアース"
10〜20代,3年以下,"タスティエーラ, ソールオリエンス, タイトルホルダー"
10〜20代,7~9年,"ドウデュース, スターズオンアース, ウインマリリン"
10〜20代,7~9年,"ドウデュース, スターズオンアース, ウインマリリン"
10〜20代,3年以下,"ドウデュース, スターズオンアース, ウインマリリン"
10〜20代,3年以下,"ジャスティンパレス, タイトルホルダー, スルーセブンシーズ"
40代,7~9年,"ジャスティンパレス, タイトルホルダー, スルーセブンシーズ"
40代,19年以上,"ジャスティンパレス, タイトルホルダー, スルーセブンシーズ"
40代,19年以上,"ジャスティンパレス, タイトルホルダー, スルーセブンシーズ"
10〜20代,3年以下,"タスティエーラ, ソールオリエンス, タイトルホルダー"
10〜20代,3年以下,"ドウデュース, スターズオンアース, ウインマリリン"
10〜20代,7~9年,"ジャスティンパレス, タイトルホルダー, スルーセブンシーズ"
10〜20代,3年以下,"ジャスティンパレス, タイトルホルダー, スルーセブンシーズ"
10〜20代,7~9年,"タイトルホルダー, ディープボンド, ライラック"
10〜20代,3年以下,"ドウデュース, ジャスティンパレス, タイトルホルダー"
10〜20代,3年以下,"タイトルホルダー, ディープボンド, ライラック"